cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
1,272,1,29510727.39,100000004070318100;100000008477350100;100000000437046100;100000004400305100;100000004351795100,"Группа: 272 счёта, исходных клиентов — 1; внутренний оборот 29,5 млн ₸. Роли-гипотезы: конечный получатель — 28, распределитель — 13, транзит — 9. Это наблюдаемая структура переводов, а не вывод о связи владельцев."
2,270,1,10178044,100000001697501100;100000002578405100;100000002527114100;100000001166289100;100000008493007100,"Группа: 270 счетов, исходных клиентов — 1; внутренний оборот 10,2 млн ₸. Роли-гипотезы: распределитель — 3, конечный получатель — 1, транзит — 1. Это наблюдаемая структура переводов, а не вывод о связи владельцев."
3,151,0,15415887,100000008165763100;100000008603629100;100000003880331100;100000007908818100;100000008566737100,"Группа: 151 счёт, исходных клиентов — 0; внутренний оборот 15,4 млн ₸. Роли-гипотезы: конечный получатель — 10, распределитель — 4, транзит — 2. Это наблюдаемая структура переводов, а не вывод о связи владельцев."
4,128,5,17160992,100000003684369100;100000008304139100;100000008748914100;100000004105288100;100000003946524100,"Группа: 128 счетов, исходных клиентов — 5; внутренний оборот 17,2 млн ₸. Роли-гипотезы: конечный получатель — 9, распределитель — 5, транзит — 2. Это наблюдаемая структура переводов, а не вывод о связи владельцев."
5,127,7,18414962.28,100000004019124100;100000004394765100;100000001530983100;100000004707703100;100000003016635100,"Группа: 127 счетов, исходных клиентов — 7; внутренний оборот 18,4 млн ₸. Роли-гипотезы: конечный получатель — 13, координатор — 3, распределитель — 3. Это наблюдаемая структура переводов, а не вывод о связи владельцев."
6,123,0,26879692,100000008489922100;100000008547948100;100000002547110100;100000008547844100;100000008710791100,"Группа: 123 счёта, исходных клиентов — 0; внутренний оборот 26,9 млн ₸. Роли-гипотезы: конечный получатель — 9, распределитель — 8, транзит — 1. Это наблюдаемая структура переводов, а не вывод о связи владельцев."
7,119,0,24439680.33,100000000331309100;100000006889963100;100000008560717100;100000000332284100;100000006734214100,"Группа: 119 счетов, исходных клиентов — 0; внутренний оборот 24,4 млн ₸. Звезда вокруг 100000000331309100 (распределитель): связей 74 из 118 возможных. Роли-гипотезы: конечный получатель — 9, консолидатор — 2, распределитель — 2. Это наблюдаемая структура переводов, а не вывод о связи владельцев."
8,101,0,5726719.67,100000005704413100;100000006707582100;100000005473151100;100000008460102100;100000005578559100,"Группа: 101 счёт, исходных клиентов — 0; внутренний оборот 5,7 млн ₸. Роли-гипотезы: распределитель — 4, конечный получатель — 4. Это наблюдаемая структура переводов, а не вывод о связи владельцев."
9,61,3,8902320,100000004015047100;100000008748408100;100000002836736100;100000001411870100;100000005171642100,"Группа: 61 счёт, исходных клиентов — 3; внутренний оборот 8,9 млн ₸. Роли-гипотезы: конечный получатель — 4, транзит — 3, консолидатор — 1. Это наблюдаемая структура переводов, а не вывод о связи владельцев."
10,60,0,15020787,100000008742053100;100000005242320100;100000002670860100;100000001584286100;100000002748761100,"Группа: 60 счетов, исходных клиентов — 0; внутренний оборот 15,0 млн ₸. Роли-гипотезы: конечный получатель — 9, распределитель — 3. Это наблюдаемая структура переводов, а не вывод о связи владельцев."
11,56,1,10014014.02,100000005778283100;100000003158727100;100000007747786100;100000002894076100;100000003831324100,"Группа: 56 счетов, исходных клиентов — 1; внутренний оборот 10,0 млн ₸. Роли-гипотезы: конечный получатель — 5, распределитель — 2, транзит — 1. Это наблюдаемая структура переводов, а не вывод о связи владельцев."
12,53,1,5947339,100000000343175100;100000003115284100;100000002957306100;100000001463701100;100000001924185100,"Группа: 53 счёта, исходных клиентов — 1; внутренний оборот 5,9 млн ₸. Роли-гипотезы: конечный получатель — 7, консолидатор — 2, транзит — 2. Это наблюдаемая структура переводов, а не вывод о связи владельцев."
